city,country,msa_or_dialect,keep_or_skip,duration,snr_db,clipping_rate,silence_ratio,dynamic_range,spectral_centroid,spectral_rolloff,rms_energy,sample_rate,tier1_pass,pass_duration,pass_snr,pass_clipping,pass_silence
Annaba,Algeria,MSA,Keep,29.989,10.363547934231917,0.0018756877521757978,2.834278092697566,17.078487873077393,1264.846597052697,2613.7976412579956,0.10878126323223114,16000.0,True,True,True,True,True
Annaba,Algeria,Dialect,Keep,29.989,3.8150630330368545,0.0006252292507252659,0.766922307435812,12.544701099395752,1384.2439178913505,2893.1070095948826,0.18777504563331604,16000.0,False,True,False,True,True
Annaba,Algeria,Dialect,Keep,29.989,13.416111230143217,0.0004168195004835106,9.70323441147049,17.807410955429077,1616.210748730419,3299.8817297441365,0.09200859814882278,16000.0,True,True,True,True,True
Annaba,Algeria,Dialect,Keep,29.989,14.554080545122554,0.0002084097502417553,8.969656552184063,18.382517099380493,1496.395305311483,3051.9223081023456,0.07953117787837982,16000.0,True,True,True,True,True
Annaba,Algeria,Dialect,Keep,29.989,13.471983276595004,0.00666911200773617,3.5345115038346115,19.28713083267212,1192.9959833947719,2380.888526119403,0.08236981183290482,16000.0,True,True,True,True,True
Annaba,Algeria,Mixed,Keep,29.989,4.168921684124213,0.0002084097502417553,2.4674891630543514,12.439004182815552,2191.9354036182176,4402.576958955224,0.21249113976955414,16000.0,False,True,False,True,True
Annaba,Algeria,Dialect,Keep,29.989,6.110468821926257,0.0004168195004835106,0.8336112037345782,13.79934310913086,1925.6305722926945,4020.1809035181236,0.158711776137352,16000.0,True,True,True,True,True
Annaba,Algeria,Dialect,Keep,29.989,7.3336015460336546,0.0004168195004835106,7.435811937312438,13.69042158126831,1760.276474261213,3643.8815964818764,0.16287967562675476,16000.0,True,True,True,True,True
Annaba,Algeria,Dialect,Keep,29.989,7.3470909142981675,0.0002084097502417553,6.60220073357786,14.599473476409912,2198.021655340026,4366.22967750533,0.17216388881206512,16000.0,True,True,True,True,True
Annaba,Algeria,Dialect,Keep,29.989,5.050851567720297,0.0004168195004835106,7.302434144714905,12.519975900650024,1936.1290899998692,4130.455423773988,0.22237643599510193,16000.0,True,True,True,True,True
Annaba,Algeria,Dialect,Skip,30.0,-2.0383710718191144,0.00020833333333333335,0.0,11.6762113571167,2136.750789983368,4604.935700959489,0.24357573688030243,16000.0,False,True,False,True,True
Annaba,Algeria,Mixed,Keep,30.0,-1.7533426180633693,0.00020833333333333335,0.0,10.322718620300293,1803.7819770053331,3588.0280517057568,0.29739221930503845,16000.0,False,True,False,True,True
Annaba,Algeria,Not applicable,Skip,30.0,6.772303725433431,0.00020833333333333335,9.43018993668777,13.887473344802856,1979.6677826621328,4110.757595948828,0.18500760197639465,16000.0,True,True,True,True,True
Annaba,Algeria,Dialect,Keep,30.0,2.4525002994755494,0.00020833333333333335,2.7324225258247252,12.28748083114624,1175.7524946862552,1994.4946028784648,0.26121824979782104,16000.0,False,True,False,True,True
Annaba,Algeria,Dialect,Keep,30.0,2.004608484628311,0.00020833333333333335,1.8993668777074308,11.73736572265625,1506.1599738079549,3003.831289978678,0.23967866599559784,16000.0,False,True,False,True,True
Annaba,Algeria,Dialect,Keep,30.0,5.090317282858756,0.00020833333333333335,4.465178273908697,13.028097152709961,2146.0779287782784,3923.515791577825,0.21021117269992828,16000.0,True,True,True,True,True
Annaba,Algeria,Not applicable,Skip,30.0,1.0573008440317841,0.00020833333333333335,0.03332222592469177,14.039980173110962,1442.4091123892133,3035.9474946695095,0.22201281785964966,16000.0,False,True,False,True,True
Annaba,Algeria,Not applicable,Skip,30.0,2.3371813787464735,0.00020833333333333335,2.7657447517494167,12.085431814193726,1936.0083841321114,3649.6535181236673,0.24952496588230133,16000.0,False,True,False,True,True
Annaba,Algeria,Not applicable,Skip,30.0,-1.9953413361882055,0.0004166666666666667,0.0,11.62543535232544,2028.6285731847415,3669.742803837953,0.24343909323215485,16000.0,False,True,False,True,True
Annaba,Algeria,Not applicable,Skip,30.0,9.632220114740537,0.0004166666666666667,0.0,17.749204635620117,1375.5687322514668,2741.85434434968,0.11352948844432831,16000.0,True,True,True,True,True
Annaba,Algeria,Not applicable,Skip,30.0,-3.256928160211379,0.0004166666666666667,0.0,11.192870140075684,2017.2807606629226,4386.51052771855,0.2733384370803833,16000.0,False,True,False,True,True
Annaba,Algeria,Not applicable,Skip,30.0,5.953275366605045,0.00020833333333333335,0.0,15.744750499725342,1792.131104388091,3683.660381130064,0.13392437994480133,16000.0,True,True,True,True,True
